1,What is the primary purpose of a firewall?,multiple_choice
2,Which of the following is a common method used in phishing attacks?,multiple_choice
3,"What is the term used to describe software that is specifically designed to disrupt, damage, or gain unauthorized access to a computer system?",multiple_choice
4,Which of the following is NOT a recommended practice for creating secure passwords?,multiple_choice
5,What is the purpose of encryption in cybersecurity?,multiple_choice
6,Two-factor authentication provides an additional layer of security beyond just using a username and password.,true_false
7,Phishing emails often contain malicious links or attachments that can infect a user's computer with malware.,true_false
8,A strong password should be easy for someone else to guess.,true_false
9,Encrypting data ensures that it cannot be intercepted and read by unauthorized parties.,true_false
10,Social engineering is a cybersecurity attack that exploits human psychology to manipulate individuals into divulging confidential information.,true_false
